open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1774442100000,71372.48000000,71395.44000000,71304.01000000,71395.42000000,36.18263000,1774442399999,2581690.40504420,11774,17.51192000,1249545.66787250,0
1774442400000,71395.42000000,71482.00000000,71359.73000000,71369.58000000,43.08115000,1774442699999,3077334.66982560,13201,21.18978000,1513570.03491810,0
1774442700000,71369.59000000,71369.59000000,71296.47000000,71324.66000000,30.67150000,1774442999999,2187676.53521290,9548,11.13329000,794097.74635690,0
1774443000000,71324.66000000,71419.34000000,71287.07000000,71419.33000000,64.01985000,1774443299999,4566030.19799400,13302,16.72110000,1192652.16676260,0
1774443300000,71419.33000000,71955.17000000,71416.62000000,71715.24000000,303.90627000,1774443599999,21802775.25393600,38276,179.82108000,12900346.90850890,0
1774443600000,71715.24000000,71858.48000000,71630.44000000,71734.08000000,140.88858000,1774443899999,10114637.71169410,23609,48.61031000,3489683.05950840,0
1774443900000,71734.08000000,71741.98000000,71646.44000000,71669.48000000,56.18029000,1774444199999,4027747.80236710,13185,11.73363000,841268.78632990,0
1774444200000,71669.48000000,71765.15000000,71665.67000000,71708.42000000,45.66057000,1774444499999,3274358.75026380,9918,16.48404000,1182075.42439170,0
1774444500000,71708.42000000,71708.43000000,71597.86000000,71650.42000000,68.94534000,1774444799999,4938698.57328080,12105,15.35156000,1099770.35944090,0
1774444800000,71650.43000000,71711.34000000,71599.90000000,71626.82000000,48.65529000,1774445099999,3486494.26985040,8647,14.32667000,1026700.65580700,0
1774445100000,71626.82000000,71639.99000000,71563.56000000,71621.96000000,35.55485000,1774445399999,2546065.95790400,6755,9.26087000,663147.58382390,0
1774445400000,71621.97000000,71909.12000000,71617.29000000,71759.18000000,165.90644000,1774445699999,11910705.98796100,35263,86.85843000,6236093.53710450,0
1774445700000,71759.19000000,71963.71000000,71757.12000000,71827.82000000,117.84534000,1774445999999,8470673.66448390,30039,56.64258000,4072563.73485460,0
1774446000000,71827.82000000,71954.72000000,71703.76000000,71728.55000000,84.69369000,1774446299999,6083225.08496160,26012,36.64375000,2632921.63493330,0
1774446300000,71728.54000000,71830.37000000,71660.00000000,71662.65000000,75.24391000,1774446599999,5397631.99498280,25913,36.86245000,2644614.11833290,0
1774446600000,71662.64000000,71748.79000000,71515.84000000,71651.90000000,80.76561000,1774446899999,5785894.68440810,32339,48.78149000,3494837.04642960,0
1774446900000,71651.90000000,71766.60000000,71544.66000000,71581.42000000,61.93596000,1774447199999,4439933.83495020,19363,31.89033000,2286789.25752360,0
1774447200000,71581.42000000,71699.87000000,71418.18000000,71484.37000000,116.27216000,1774447499999,8318919.20936490,32823,31.03715000,2220869.74529170,0
1774447500000,71484.36000000,71594.68000000,71383.41000000,71546.07000000,95.74939000,1774447799999,6842534.32911060,24858,44.15202000,3155361.66964070,0
1774447800000,71545.81000000,71545.81000000,71291.78000000,71392.91000000,133.27553000,1774448099999,9515148.20511090,22795,39.95647000,2852154.28895200,0
1774448100000,71392.91000000,71542.38000000,71332.24000000,71342.96000000,65.29486000,1774448399999,4664841.64892040,14741,38.78852000,2770928.47985320,0
1774448400000,71344.26000000,71484.00000000,71267.79000000,71285.66000000,101.60157000,1774448699999,7251111.49614820,21652,27.73185000,1980127.40155710,0
1774448700000,71285.67000000,71499.93000000,71285.67000000,71366.26000000,72.95384000,1774448999999,5206979.20603570,27186,37.08936000,2647453.34028120,0
1774449000000,71366.67000000,71526.32000000,71322.80000000,71501.79000000,40.84522000,1774449299999,2918491.32039840,17174,28.87492000,2063444.34162020,0
1774449300000,71501.80000000,71556.39000000,71302.56000000,71346.64000000,34.69974000,1774449599999,2477961.26496280,18979,14.10488000,1007496.13239240,0
1774449600000,71346.65000000,71418.41000000,71333.54000000,71365.99000000,43.42096000,1774449899999,3098751.25190230,12590,17.98790000,1283706.27820880,0
1774449900000,71366.00000000,71412.00000000,71272.49000000,71399.19000000,41.06793000,1774450199999,2929981.10583920,14933,21.37960000,1525330.42227010,0
1774450200000,71399.20000000,71438.90000000,71340.79000000,71340.79000000,29.60874000,1774450499999,2114335.42150740,11786,12.42493000,887270.22751800,0
1774450500000,71340.80000000,71341.59000000,71230.51000000,71234.28000000,35.65098000,1774450799999,2541815.75797340,11851,11.25775000,802780.13960410,0
